"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","1.1674","1.1688","1.1703","1.1673","","-0.13%"
"06/01/2026","1.1689","1.1722","1.1744","1.1684","","-0.27%"
"05/01/2026","1.1721","1.1724","1.1729","1.1659","","0.01%"
"02/01/2026","1.1720","1.1749","1.1765","1.1713","","-0.22%"
"01/01/2026","1.1746","1.1741","1.1747","1.1740","","0.00%"
"31/12/2025","1.1746","1.1746","1.1760","1.1720","","-0.02%"
"30/12/2025","1.1748","1.1768","1.1780","1.1743","","-0.20%"
"29/12/2025","1.1772","1.1771","1.1789","1.1749","","0.00%"
"26/12/2025","1.1772","1.1781","1.1797","1.1761","","-0.05%"
"25/12/2025","1.1778","1.1783","1.1788","1.1771","","0.00%"
"24/12/2025","1.1778","1.1793","1.1809","1.1772","","-0.14%"
"23/12/2025","1.1795","1.1756","1.1802","1.1755","","0.29%"
"22/12/2025","1.1761","1.1713","1.1770","1.1705","","0.44%"
"19/12/2025","1.1710","1.1721","1.1738","1.1702","","-0.10%"
"18/12/2025","1.1722","1.1740","1.1763","1.1713","","-0.15%"
"17/12/2025","1.1740","1.1747","1.1759","1.1703","","-0.06%"
"16/12/2025","1.1747","1.1753","1.1804","1.1735","","-0.05%"
"15/12/2025","1.1753","1.1739","1.1769","1.1726","","0.11%"
"12/12/2025","1.1740","1.1738","1.1750","1.1719","","0.02%"
"11/12/2025","1.1738","1.1696","1.1763","1.1682","","0.36%"
"10/12/2025","1.1696","1.1627","1.1701","1.1622","","0.59%"
"09/12/2025","1.1627","1.1637","1.1658","1.1615","","-0.09%"
"08/12/2025","1.1637","1.1645","1.1673","1.1616","","-0.05%"
"05/12/2025","1.1643","1.1644","1.1672","1.1628","","-0.01%"
"04/12/2025","1.1644","1.1670","1.1683","1.1641","","-0.24%"
"03/12/2025","1.1672","1.1626","1.1677","1.1620","","0.41%"
"02/12/2025","1.1624","1.1610","1.1627","1.1591","","0.11%"
"01/12/2025","1.1611","1.1596","1.1652","1.1589","","0.13%"
"28/11/2025","1.1596","1.1595","1.1609","1.1555","","0.01%"
"27/11/2025","1.1595","1.1595","1.1614","1.1576","","0.00%"
"26/11/2025","1.1595","1.1571","1.1601","1.1547","","0.21%"
"25/11/2025","1.1571","1.1521","1.1586","1.1511","","0.43%"
"24/11/2025","1.1521","1.1513","1.1551","1.1502","","0.07%"
"21/11/2025","1.1513","1.1529","1.1553","1.1490","","-0.14%"
"20/11/2025","1.1529","1.1537","1.1550","1.1507","","-0.08%"
"19/11/2025","1.1538","1.1581","1.1598","1.1518","","-0.37%"
"18/11/2025","1.1581","1.1592","1.1608","1.1571","","-0.09%"
"17/11/2025","1.1591","1.1621","1.1626","1.1582","","-0.26%"
"14/11/2025","1.1621","1.1639","1.1654","1.1606","","-0.10%"
"13/11/2025","1.1633","1.1593","1.1656","1.1579","","0.35%"
"12/11/2025","1.1593","1.1582","1.1598","1.1563","","0.09%"
"11/11/2025","1.1582","1.1557","1.1606","1.1547","","0.22%"
"10/11/2025","1.1557","1.1566","1.1584","1.1540","","-0.08%"
"07/11/2025","1.1566","1.1547","1.1591","1.1529","","0.16%"
"06/11/2025","1.1548","1.1492","1.1553","1.1490","","0.49%"
"05/11/2025","1.1492","1.1484","1.1498","1.1469","","0.08%"
"04/11/2025","1.1483","1.1519","1.1534","1.1473","","-0.32%"
"03/11/2025","1.1520","1.1536","1.1542","1.1505","","-0.14%"
"31/10/2025","1.1536","1.1566","1.1578","1.1521","","-0.26%"
"30/10/2025","1.1566","1.1601","1.1637","1.1547","","-0.30%"
"29/10/2025","1.1601","1.1652","1.1666","1.1578","","-0.44%"
"28/10/2025","1.1652","1.1645","1.1669","1.1626","","0.06%"
"27/10/2025","1.1645","1.1626","1.1652","1.1617","","0.16%"
"24/10/2025","1.1626","1.1618","1.1649","1.1600","","0.07%"
"23/10/2025","1.1618","1.1611","1.1620","1.1585","","0.06%"
"22/10/2025","1.1611","1.1599","1.1623","1.1577","","0.10%"
"21/10/2025","1.1599","1.1643","1.1656","1.1597","","-0.36%"
"20/10/2025","1.1641","1.1663","1.1677","1.1638","","-0.09%"
"17/10/2025","1.1652","1.1688","1.1729","1.1651","","-0.31%"
"16/10/2025","1.1688","1.1648","1.1695","1.1641","","0.34%"
"15/10/2025","1.1648","1.1607","1.1649","1.1601","","0.35%"
"14/10/2025","1.1607","1.1571","1.1617","1.1542","","0.32%"
"13/10/2025","1.1570","1.1620","1.1630","1.1557","","-0.43%"
"10/10/2025","1.1620","1.1565","1.1631","1.1556","","0.48%"
"09/10/2025","1.1565","1.1624","1.1649","1.1542","","-0.54%"
"08/10/2025","1.1628","1.1654","1.1663","1.1598","","-0.25%"
"07/10/2025","1.1657","1.1713","1.1717","1.1648","","-0.45%"
"06/10/2025","1.1710","1.1743","1.1743","1.1651","","-0.28%"
"03/10/2025","1.1743","1.1715","1.1759","1.1713","","0.23%"
"02/10/2025","1.1716","1.1729","1.1759","1.1683","","-0.12%"
"01/10/2025","1.1730","1.1734","1.1779","1.1714","","-0.03%"
"30/09/2025","1.1734","1.1727","1.1763","1.1712","","0.06%"
"29/09/2025","1.1727","1.1702","1.1756","1.1700","","0.21%"
"26/09/2025","1.1702","1.1667","1.1708","1.1658","","0.30%"
"25/09/2025","1.1667","1.1738","1.1755","1.1646","","-0.60%"
"24/09/2025","1.1738","1.1815","1.1820","1.1728","","-0.66%"
"23/09/2025","1.1816","1.1804","1.1820","1.1779","","0.11%"
"22/09/2025","1.1803","1.1746","1.1805","1.1726","","0.49%"
"19/09/2025","1.1746","1.1788","1.1793","1.1729","","-0.36%"
"18/09/2025","1.1788","1.1813","1.1849","1.1751","","-0.21%"
"17/09/2025","1.1813","1.1868","1.1919","1.1808","","-0.46%"
"16/09/2025","1.1868","1.1764","1.1879","1.1757","","0.91%"
"15/09/2025","1.1761","1.1734","1.1775","1.1716","","0.23%"
"12/09/2025","1.1734","1.1734","1.1749","1.1701","","0.00%"
"11/09/2025","1.1734","1.1695","1.1747","1.1663","","0.33%"
"10/09/2025","1.1695","1.1709","1.1732","1.1682","","-0.11%"
"09/09/2025","1.1708","1.1763","1.1780","1.1703","","-0.48%"
"08/09/2025","1.1764","1.1719","1.1766","1.1702","","0.38%"
"05/09/2025","1.1719","1.1649","1.1761","1.1646","","0.59%"
"04/09/2025","1.1650","1.1661","1.1670","1.1630","","-0.10%"
"03/09/2025","1.1662","1.1643","1.1684","1.1608","","0.19%"
"02/09/2025","1.1640","1.1711","1.1719","1.1612","","-0.61%"
"01/09/2025","1.1711","1.1686","1.1738","1.1685","","0.21%"
"29/08/2025","1.1686","1.1683","1.1710","1.1651","","0.03%"
"28/08/2025","1.1683","1.1639","1.1698","1.1629","","0.38%"
"27/08/2025","1.1639","1.1643","1.1649","1.1574","","-0.03%"
"26/08/2025","1.1643","1.1620","1.1667","1.1601","","0.22%"
"25/08/2025","1.1618","1.1717","1.1729","1.1602","","-0.84%"
"22/08/2025","1.1717","1.1606","1.1744","1.1583","","0.96%"
"21/08/2025","1.1606","1.1653","1.1664","1.1600","","-0.39%"
"20/08/2025","1.1652","1.1650","1.1674","1.1622","","0.04%"
"19/08/2025","1.1647","1.1660","1.1693","1.1639","","-0.12%"
"18/08/2025","1.1661","1.1694","1.1719","1.1656","","-0.32%"
"15/08/2025","1.1698","1.1649","1.1715","1.1646","","0.43%"
"14/08/2025","1.1648","1.1706","1.1716","1.1631","","-0.50%"
"13/08/2025","1.1706","1.1675","1.1731","1.1668","","0.28%"
"12/08/2025","1.1673","1.1616","1.1698","1.1598","","0.49%"
"11/08/2025","1.1616","1.1642","1.1677","1.1590","","-0.21%"
"08/08/2025","1.1640","1.1666","1.1680","1.1629","","-0.22%"
"07/08/2025","1.1666","1.1660","1.1700","1.1611","","0.05%"
"06/08/2025","1.1660","1.1573","1.1669","1.1564","","0.73%"
"05/08/2025","1.1576","1.1571","1.1589","1.1527","","0.04%"
"04/08/2025","1.1571","1.1578","1.1597","1.1549","","-0.13%"
"01/08/2025","1.1586","1.1415","1.1597","1.1391","","1.49%"
"31/07/2025","1.1416","1.1406","1.1461","1.1403","","0.09%"
"30/07/2025","1.1406","1.1546","1.1573","1.1401","","-1.21%"
"29/07/2025","1.1546","1.1590","1.1600","1.1517","","-0.37%"
"28/07/2025","1.1589","1.1748","1.1773","1.1585","","-1.30%"
"25/07/2025","1.1742","1.1749","1.1761","1.1703","","-0.11%"
"24/07/2025","1.1755","1.1772","1.1790","1.1730","","-0.14%"
"23/07/2025","1.1772","1.1754","1.1776","1.1710","","0.14%"
"22/07/2025","1.1755","1.1696","1.1761","1.1679","","0.50%"
"21/07/2025","1.1696","1.1627","1.1718","1.1614","","0.60%"
"18/07/2025","1.1626","1.1595","1.1673","1.1591","","0.26%"
"17/07/2025","1.1596","1.1641","1.1644","1.1557","","-0.34%"
"16/07/2025","1.1635","1.1600","1.1722","1.1562","","0.29%"
"15/07/2025","1.1601","1.1667","1.1694","1.1592","","-0.55%"
"14/07/2025","1.1665","1.1682","1.1698","1.1650","","-0.21%"
"11/07/2025","1.1690","1.1701","1.1715","1.1665","","-0.09%"
"10/07/2025","1.1700","1.1721","1.1750","1.1662","","-0.18%"
"09/07/2025","1.1721","1.1726","1.1730","1.1690","","-0.04%"
"08/07/2025","1.1726","1.1710","1.1766","1.1683","","0.15%"
"07/07/2025","1.1709","1.1779","1.1791","1.1687","","-0.59%"
"04/07/2025","1.1779","1.1757","1.1788","1.1753","","0.19%"
"03/07/2025","1.1757","1.1799","1.1811","1.1718","","-0.36%"
"02/07/2025","1.1799","1.1803","1.1811","1.1747","","-0.07%"
"01/07/2025","1.1807","1.1787","1.1831","1.1761","","0.17%"
"30/06/2025","1.1787","1.1720","1.1789","1.1705","","0.57%"
"27/06/2025","1.1720","1.1696","1.1755","1.1681","","0.17%"
"26/06/2025","1.1700","1.1659","1.1745","1.1654","","0.34%"
"25/06/2025","1.1660","1.1610","1.1666","1.1590","","0.43%"
"24/06/2025","1.1610","1.1577","1.1642","1.1574","","0.28%"
"23/06/2025","1.1578","1.1481","1.1582","1.1452","","0.48%"
"20/06/2025","1.1523","1.1495","1.1544","1.1490","","0.24%"
"19/06/2025","1.1495","1.1484","1.1500","1.1446","","0.12%"
"18/06/2025","1.1481","1.1481","1.1530","1.1461","","0.00%"
"17/06/2025","1.1481","1.1567","1.1578","1.1475","","-0.70%"
"16/06/2025","1.1562","1.1537","1.1615","1.1523","","0.08%"
"13/06/2025","1.1553","1.1582","1.1615","1.1489","","-0.28%"
"12/06/2025","1.1585","1.1492","1.1632","1.1485","","0.84%"
"11/06/2025","1.1488","1.1427","1.1500","1.1405","","0.55%"
"10/06/2025","1.1425","1.1423","1.1449","1.1373","","0.04%"
"09/06/2025","1.1421","1.1400","1.1439","1.1386","","0.23%"
"06/06/2025","1.1395","1.1445","1.1458","1.1370","","-0.44%"
"05/06/2025","1.1445","1.1418","1.1496","1.1404","","0.24%"
"04/06/2025","1.1418","1.1374","1.1435","1.1357","","0.40%"
"03/06/2025","1.1372","1.1441","1.1456","1.1364","","-0.61%"
"02/06/2025","1.1442","1.1343","1.1451","1.1343","","0.83%"
"30/05/2025","1.1348","1.1366","1.1391","1.1313","","-0.21%"
"29/05/2025","1.1372","1.1296","1.1385","1.1210","","0.70%"
"28/05/2025","1.1293","1.1329","1.1346","1.1283","","-0.32%"
"27/05/2025","1.1329","1.1388","1.1408","1.1323","","-0.52%"
"26/05/2025","1.1388","1.1366","1.1419","1.1360","","0.20%"
"23/05/2025","1.1365","1.1281","1.1376","1.1279","","0.74%"
"22/05/2025","1.1281","1.1332","1.1346","1.1255","","-0.44%"
"21/05/2025","1.1331","1.1283","1.1363","1.1280","","0.43%"
"20/05/2025","1.1283","1.1238","1.1287","1.1218","","0.35%"
"19/05/2025","1.1244","1.1170","1.1289","1.1170","","0.72%"
"16/05/2025","1.1164","1.1189","1.1220","1.1130","","-0.22%"
"15/05/2025","1.1189","1.1177","1.1229","1.1170","","0.13%"
"14/05/2025","1.1175","1.1185","1.1266","1.1165","","-0.10%"
"13/05/2025","1.1186","1.1086","1.1195","1.1084","","0.88%"
"12/05/2025","1.1088","1.1219","1.1244","1.1065","","-1.42%"
"09/05/2025","1.1248","1.1228","1.1293","1.1196","","0.18%"
"08/05/2025","1.1228","1.1301","1.1337","1.1212","","-0.64%"
"07/05/2025","1.1300","1.1370","1.1379","1.1292","","-0.62%"
"06/05/2025","1.1370","1.1315","1.1382","1.1280","","0.49%"
"05/05/2025","1.1315","1.1319","1.1365","1.1292","","0.17%"
"02/05/2025","1.1296","1.1288","1.1381","1.1273","","0.04%"
"01/05/2025","1.1292","1.1329","1.1342","1.1266","","-0.33%"
"30/04/2025","1.1329","1.1386","1.1400","1.1317","","-0.50%"
"29/04/2025","1.1386","1.1422","1.1423","1.1370","","-0.32%"
"28/04/2025","1.1422","1.1375","1.1425","1.1329","","0.50%"
"25/04/2025","1.1365","1.1389","1.1395","1.1315","","-0.21%"
"24/04/2025","1.1389","1.1315","1.1399","1.1313","","0.65%"
"23/04/2025","1.1315","1.1422","1.1441","1.1308","","-0.92%"
"22/04/2025","1.1420","1.1515","1.1548","1.1417","","-0.81%"
"21/04/2025","1.1513","1.1385","1.1574","1.1388","","1.07%"
"18/04/2025","1.1391","1.1367","1.1399","1.1358","","0.25%"
"17/04/2025","1.1363","1.1395","1.1410","1.1336","","-0.31%"
"16/04/2025","1.1398","1.1283","1.1413","1.1281","","1.04%"
"15/04/2025","1.1281","1.1349","1.1379","1.1264","","-0.60%"
"14/04/2025","1.1349","1.1313","1.1425","1.1282","","-0.10%"
"11/04/2025","1.1360","1.1202","1.1475","1.1189","","1.46%"
"10/04/2025","1.1197","1.0951","1.1242","1.0943","","2.25%"
"09/04/2025","1.0951","1.0959","1.1096","1.0913","","-0.05%"
"08/04/2025","1.0956","1.0905","1.0993","1.0888","","0.48%"
"07/04/2025","1.0904","1.0946","1.1051","1.0883","","-0.47%"
"04/04/2025","1.0955","1.1052","1.1109","1.0924","","-0.86%"
"03/04/2025","1.1050","1.0856","1.1146","1.0805","","1.80%"
"02/04/2025","1.0855","1.0793","1.0925","1.0780","","0.57%"
"01/04/2025","1.0793","1.0818","1.0831","1.0778","","-0.22%"
"31/03/2025","1.0817","1.0822","1.0850","1.0784","","-0.09%"
"28/03/2025","1.0827","1.0802","1.0845","1.0764","","0.24%"
"27/03/2025","1.0801","1.0753","1.0822","1.0732","","0.46%"
"26/03/2025","1.0752","1.0791","1.0803","1.0744","","-0.36%"
"25/03/2025","1.0791","1.0802","1.0831","1.0776","","-0.08%"
"24/03/2025","1.0800","1.0808","1.0859","1.0781","","-0.13%"
"21/03/2025","1.0814","1.0852","1.0862","1.0797","","-0.34%"
"20/03/2025","1.0851","1.0903","1.0918","1.0815","","-0.46%"
"19/03/2025","1.0901","1.0945","1.0947","1.0861","","-0.38%"
"18/03/2025","1.0943","1.0923","1.0956","1.0892","","0.20%"
"17/03/2025","1.0921","1.0877","1.0930","1.0868","","0.39%"
"14/03/2025","1.0879","1.0852","1.0913","1.0830","","0.25%"
"13/03/2025","1.0852","1.0888","1.0898","1.0822","","-0.31%"
"12/03/2025","1.0886","1.0920","1.0932","1.0875","","-0.29%"
"11/03/2025","1.0918","1.0834","1.0947","1.0829","","0.79%"
"10/03/2025","1.0832","1.0835","1.0875","1.0805","","0.00%"
"07/03/2025","1.0832","1.0784","1.0890","1.0781","","0.45%"
"06/03/2025","1.0783","1.0791","1.0854","1.0765","","-0.06%"
"05/03/2025","1.0790","1.0627","1.0797","1.0602","","1.56%"
"04/03/2025","1.0624","1.0488","1.0628","1.0471","","1.32%"
"03/03/2025","1.0486","1.0382","1.0504","1.0381","","1.07%"
